contract_id,customer_id,contract_number,contract_type,start_date,end_date,price,payment_terms,contract_status,salesperson_id,special_terms
1,1,C-9619-28660,Service Agreement,2021-07-21,2025-01-17,$13595.34709270272,Quarterly,Expired,13,Sortitus adsum terror suffragium ara talio ipsam conscendo ocer.
2,1,C-6734-53382,Warranty Extension,2021-04-19,2028-02-05,$27802.115539494138,Monthly,Active,19,Tertius thorax cognomen cultura arx cicuta.
3,1,C-6759-73066,Service Agreement,2022-09-28,2026-02-01,$84061.36337684524,Quarterly,Pending Renewal,14,Suasoria crinis animus aveho charisma.
4,2,C-7329-82583,Full Coverage,2020-09-25,2025-08-01,$41767.14196376257,Annually,Pending Renewal,10,Aqua adsum vito supplanto clamo tollo corporis ab velociter.
5,2,C-4876-55100,Warranty Extension,2022-04-08,2023-09-23,$60090.594289087385,Monthly,Expired,12,Cruentus certus spargo impedit officia adeptio conforto.
6,2,C-6154-69317,Warranty Extension,2020-12-24,2027-12-15,$35503.1654752016,Monthly,Pending Renewal,1,Tenax tres accommodo vesper caterva alias talis supra agnitio spero.
7,3,C-8422-52885,Service Agreement,2022-09-10,2024-04-06,$53755.860578473796,Monthly,Expired,14,Asperiores urbanus sed.
8,4,C-6151-65998,Warranty Extension,2023-11-02,2030-05-25,$21544.479156137724,Monthly,Active,14,Titulus rem vis aliqua cum aegrus communis adfectus supellex.
9,5,C-3096-74457,Service Agreement,2024-04-14,2029-02-15,$60388.40912206423,Annually,Expired,3,Ipsa conscendo cui sodalitas cursus saepe cruciamentum sulum tepidus.
10,5,C-2740-31670,Service Agreement,2021-11-14,2029-06-18,$86558.09371771972,Annually,Pending Renewal,2,Tollo dolores spes.
11,6,C-5981-82604,Full Coverage,2022-08-13,2029-09-06,$16448.744674297,Annually,Active,7,Denuncio vilis thymbra baiulus ait commemoro amitto ascisco.
12,6,C-2046-91735,Full Coverage,2023-03-18,2027-03-08,$93635.05700772956,Annually,Active,5,Aeternus dedico consuasor.
13,6,C-6860-63245,Warranty Extension,2021-03-13,2021-07-09,$90092.85715865101,Quarterly,Expired,5,Cursus aestas accusamus.
14,7,C-2377-34713,Warranty Extension,2024-09-22,2028-03-24,$77787.04513458865,Monthly,Pending Renewal,9,Censura somniculosus possimus temperantia auctor brevis.
15,7,C-8563-63709,Full Coverage,2021-06-27,2025-07-02,$20361.917950360585,Monthly,Expired,3,Celer tabernus contabesco ab cum sponte cupiditas avaritia.
16,7,C-2966-87146,Full Coverage,2020-11-26,2029-05-08,$44363.992173354716,Monthly,Active,5,Caveo paens sollers virgo color aranea alii stultus.
17,8,C-7467-51497,Service Agreement,2020-02-17,2022-10-27,$16783.2814376247,Quarterly,Pending Renewal,16,Vociferor illo causa crinis deleniti usus virga derelinquo.
18,9,C-9076-44533,Warranty Extension,2020-11-22,2022-02-07,$43782.53960823643,Quarterly,Expired,2,Truculenter tametsi civitas arto tepesco supplanto caste ciminatio.
19,9,C-6248-38169,Service Agreement,2021-08-21,2025-01-02,$74786.42310468889,Annually,Pending Renewal,9,A saepe ab tristis deorsum bardus qui communis ciminatio.
20,10,C-3862-15945,Full Coverage,2023-06-23,2024-08-21,$58344.67024727774,Annually,Pending Renewal,1,Cito acerbitas appono velum delibero depereo tertius studio acerbitas color.
21,10,C-6599-27636,Full Coverage,2023-03-02,2027-06-22,$97806.27558072886,Monthly,Active,16,Vomica capio denuncio victoria cresco.
22,10,C-2420-98506,Warranty Extension,2020-06-22,2026-07-07,$55125.92685507787,Quarterly,Expired,10,Tenetur coadunatio venia amor alias.
23,11,C-8864-11332,Service Agreement,2023-02-05,2029-03-12,$75885.07834393367,Annually,Expired,8,Thema vitium pax maiores delectatio peior vorax bonus audio.
24,11,C-8345-45652,Full Coverage,2020-12-20,2028-08-14,$49940.990108736296,Annually,Expired,16,Fugiat tendo tollo.
25,12,C-3679-63469,Full Coverage,2020-01-02,2021-04-13,$54120.40634112694,Monthly,Pending Renewal,10,Ante centum tener delicate defetiscor admitto vesper caste.
26,12,C-4750-11570,Service Agreement,2024-08-03,2025-05-10,$73832.04943655294,Quarterly,Pending Renewal,10,Crastinus totidem depulso victus absque dolore contego.
27,12,C-7054-52574,Full Coverage,2024-08-16,2029-11-07,$98620.91320626572,Quarterly,Active,4,Talio caste cometes spargo coepi demum somniculosus.
28,13,C-3566-24777,Full Coverage,2022-12-17,2025-07-25,$55008.145533351475,Quarterly,Pending Renewal,7,Somnus certus desipio uxor ea creta absconditus pectus cariosus.
29,13,C-6844-70976,Service Agreement,2021-11-02,2023-07-23,$36825.65448562876,Annually,Expired,6,Creator aequitas pauper accedo arto victus adiuvo audio convoco tutamen.
30,14,C-7509-63802,Full Coverage,2020-11-05,2024-02-28,$36906.645153719146,Quarterly,Pending Renewal,12,Alienus defleo sum synagoga vero adfectus aestas sulum adhuc tremo.
31,14,C-3866-52268,Full Coverage,2020-07-20,2024-12-14,$19575.533360080295,Quarterly,Pending Renewal,20,Dolores summa antiquus turba attonbitus cunae eum vito umbra.
32,14,C-4584-97609,Full Coverage,2024-05-10,2025-03-27,$58105.40188500422,Quarterly,Expired,6,Amicitia qui veritas culpa templum cogo cribro defendo artificiose dolores.
33,15,C-7686-92300,Service Agreement,2020-07-12,2023-05-21,$52540.51573922686,Quarterly,Expired,12,Candidus nesciunt comprehendo.
34,15,C-3279-57172,Warranty Extension,2020-02-01,2023-12-30,$83149.635809024,Annually,Expired,2,Patrocinor aggredior adficio vilicus ab calcar atque.
35,15,C-8196-90191,Service Agreement,2023-01-08,2030-12-29,$21621.089816019547,Quarterly,Active,10,Aegrotatio sit cogito.
36,16,C-3970-51063,Service Agreement,2022-03-03,2029-08-12,$32133.328436480875,Quarterly,Active,16,Vilitas charisma patior cultura absque somnus.
37,17,C-8821-36510,Warranty Extension,2023-01-01,2025-03-27,$38762.96415423635,Quarterly,Active,1,Tabernus a acquiro alias unus assumenda desolo quos cunabula.
38,18,C-6845-21302,Full Coverage,2023-02-26,2027-06-23,$64116.890804528965,Monthly,Active,1,Consequatur ipsa delibero eveniet deleo.
39,18,C-7713-81115,Warranty Extension,2023-12-31,2025-06-15,$31578.393291530854,Monthly,Pending Renewal,11,Excepturi amoveo adficio claudeo adipisci commemoro creo summa constans ars.
40,19,C-3080-75314,Service Agreement,2024-08-16,2029-02-19,$8107.7213660623565,Quarterly,Pending Renewal,4,Surculus curiositas terga.
41,19,C-3329-49748,Full Coverage,2022-09-12,2029-08-05,$21311.631536755714,Annually,Expired,2,Crastinus ciminatio altus.
42,20,C-3043-17935,Warranty Extension,2021-04-12,2022-09-07,$96806.47936564485,Quarterly,Active,12,Esse labore conicio antiquus vilicus apud venustas.
