invoice_id,customer_id,contract_id,invoice_date,due_date,amount,status
1,1,1,2024-10-26,2024-11-06,$7183.853021089961,Pending
2,1,1,2023-05-26,2023-06-18,$6483.03666888192,Paid
3,1,1,2021-10-10,2021-11-03,$4245.6245084321645,Overdue
4,1,2,2027-04-01,2027-04-17,$5685.528821965181,Paid
5,1,2,2025-09-05,2025-09-25,$8693.10715753368,Pending
6,1,2,2027-04-10,2027-04-29,$1726.611273214302,Pending
7,1,2,2022-03-11,2022-03-17,$6312.770013911465,Pending
8,1,2,2022-10-28,2022-10-28,$2729.434672543309,Pending
9,1,2,2021-09-01,2021-09-21,$6275.694996757849,Pending
10,1,2,2025-08-22,2025-08-27,$4977.7681074619895,Paid
11,1,2,2023-07-22,2023-08-06,$6828.084514278814,Pending
12,1,2,2022-04-27,2022-05-22,$9969.187745397412,Pending
13,1,2,2026-12-25,2027-01-21,$6421.155732287127,Pending
14,1,2,2021-12-15,2021-12-18,$6422.045216020862,Paid
15,1,2,2022-04-25,2022-04-28,$1927.7161743534073,Overdue
16,1,3,2026-01-09,2026-01-31,$6476.404836409304,Overdue
17,1,3,2023-07-07,2023-07-12,$8714.625554841394,Pending
18,1,3,2025-09-08,2025-09-10,$1874.4453880912258,Paid
19,1,3,2024-08-24,2024-09-02,$2164.9468081147115,Overdue
20,1,3,2025-08-19,2025-08-21,$466.50061786467467,Paid
21,1,3,2025-04-15,2025-05-02,$4840.54675680231,Pending
22,1,3,2023-01-16,2023-01-20,$2965.141868926351,Paid
23,1,3,2024-01-08,2024-01-09,$9184.67038643598,Overdue
24,1,3,2024-07-16,2024-08-08,$2918.092403509435,Overdue
25,2,4,2025-01-03,2025-01-28,$7844.605996226472,Paid
26,2,4,2024-04-17,2024-04-24,$5527.824317892975,Paid
27,2,4,2021-05-03,2021-05-10,$266.37938908644924,Pending
28,2,4,2022-05-22,2022-06-10,$330.2253497441968,Overdue
29,2,4,2022-01-13,2022-02-09,$5478.192751338448,Paid
30,2,5,2022-12-27,2022-12-27,$7335.276683227161,Paid
31,2,5,2023-01-14,2023-02-03,$6738.116281078924,Overdue
32,2,5,2022-11-08,2022-11-21,$2051.3977092372093,Pending
33,2,5,2023-03-19,2023-04-06,$8165.576184982264,Paid
34,2,5,2023-03-28,2023-04-20,$3212.7163315397484,Paid
35,2,5,2023-03-05,2023-03-19,$3485.3003983090575,Paid
36,2,5,2022-12-24,2023-01-02,$6373.337961688359,Paid
37,2,5,2022-07-25,2022-08-05,$3781.7828764235055,Pending
38,2,5,2023-08-06,2023-08-31,$6301.026244723852,Paid
39,2,5,2022-10-12,2022-10-24,$6459.167204615015,Overdue
40,2,6,2025-08-27,2025-09-16,$1169.9129614171388,Pending
41,2,6,2026-10-19,2026-11-07,$8668.720220371739,Overdue
42,3,7,2022-12-11,2023-01-02,$9191.31423384079,Paid
43,3,7,2024-03-26,2024-04-22,$516.9313040694685,Overdue
44,3,7,2023-11-07,2023-11-29,$3839.1776085494507,Paid
45,3,7,2023-06-04,2023-06-06,$8497.54602320606,Pending
46,3,7,2024-02-25,2024-03-18,$9287.642514330848,Paid
47,3,7,2024-03-06,2024-04-01,$7982.476622545239,Pending
48,3,7,2024-03-11,2024-03-31,$7527.789445456332,Overdue
49,3,7,2024-01-10,2024-01-19,$1053.0857309368944,Paid
50,3,7,2022-11-05,2022-11-19,$3932.9024152117727,Pending
51,3,7,2022-09-22,2022-10-21,$9506.640318383406,Pending
52,3,7,2022-09-19,2022-10-06,$8624.681061982696,Pending
53,3,7,2023-05-10,2023-05-30,$7969.938878872176,Paid
54,4,8,2026-02-19,2026-03-02,$759.9214025474179,Paid
55,4,8,2027-10-03,2027-10-07,$3980.4601896388062,Overdue
56,4,8,2027-01-19,2027-01-22,$4749.481567734712,Paid
57,4,8,2027-02-07,2027-02-15,$265.0516017473273,Overdue
58,4,8,2023-12-13,2023-12-28,$5140.322841337169,Overdue
59,4,8,2028-10-28,2028-11-27,$1442.6935087874342,Paid
60,4,8,2024-03-21,2024-04-01,$6976.2723156946995,Overdue
61,4,8,2030-03-30,2030-04-29,$8191.242896323114,Pending
62,4,8,2028-11-21,2028-11-23,$2593.102820490256,Overdue
63,4,8,2026-12-25,2026-12-29,$4569.945282155118,Pending
64,5,9,2025-09-02,2025-10-01,$127.80585511653568,Overdue
65,5,9,2025-02-22,2025-02-28,$7485.06034262136,Paid
66,5,9,2024-07-15,2024-07-27,$2922.1890247020197,Overdue
67,5,9,2025-02-14,2025-02-21,$4006.7443869157296,Overdue
68,5,9,2029-02-11,2029-03-12,$7059.647670336017,Overdue
69,5,9,2024-07-22,2024-08-06,$8231.158986511802,Overdue
70,5,9,2026-07-05,2026-08-02,$2606.4408556806934,Overdue
71,5,9,2028-06-05,2028-06-30,$556.6752899266091,Overdue
72,5,9,2026-10-10,2026-10-23,$4451.712215059768,Paid
73,5,9,2025-01-20,2025-02-12,$6746.5059989300535,Pending
74,5,9,2028-10-10,2028-10-29,$7935.155676678702,Pending
75,5,9,2028-12-29,2029-01-01,$9309.872363503999,Paid
76,5,10,2022-11-12,2022-11-26,$6048.387673233161,Pending
77,5,10,2026-12-25,2027-01-08,$5271.229689800083,Paid
78,5,10,2029-06-09,2029-06-18,$7442.47136723648,Paid
79,5,10,2024-04-09,2024-04-17,$6850.393395153324,Pending
80,5,10,2029-06-12,2029-06-21,$9916.46686919865,Paid
81,5,10,2024-06-19,2024-07-12,$913.5455339497596,Pending
82,5,10,2028-07-07,2028-07-25,$7217.9930433842155,Overdue
83,5,10,2022-10-27,2022-10-29,$6282.2845152707005,Overdue
84,6,11,2029-01-02,2029-01-28,$8131.43268838389,Paid
85,6,11,2025-12-29,2026-01-14,$5908.062185588751,Pending
86,6,11,2026-05-03,2026-05-30,$5590.024656827498,Overdue
87,6,12,2024-10-09,2024-10-20,$940.8085714183662,Paid
88,6,12,2024-10-12,2024-10-20,$7533.347389670288,Paid
89,6,12,2026-02-06,2026-02-07,$4703.1094799877,Overdue
90,6,13,2021-04-07,2021-05-04,$3680.350598397923,Paid
91,6,13,2021-07-04,2021-07-29,$6082.198699633114,Overdue
92,6,13,2021-04-17,2021-05-04,$5991.904574704728,Paid
93,6,13,2021-04-12,2021-05-02,$3610.6549543620363,Overdue
94,6,13,2021-05-18,2021-06-11,$9450.096362940976,Overdue
