plant_id,customer_id,plant_name,manufacturer,model,installation_date,cooling_capacity,heating_capacity,energy_efficiency_rating,warranty_expiration,last_inspection_date,plant_status
1,1,Dibbert - Spinka Plant,Schowalter Inc,TA7D8QUVPI,2021-08-01,53173 BTU,26894 BTU,18.277324152743947,2027-02-08,2022-06-12,Under Maintenance
2,1,"Quigley, Bernier and Pfeffer Plant",Batz - Anderson,X8GA6P1AYV,2023-01-10,59756 BTU,55546 BTU,19.46977930941172,2029-11-14,2023-07-23,Under Maintenance
3,2,Ebert - Medhurst Plant,Daugherty - Marks,TFWMBCRRZ3,2020-12-11,55231 BTU,24687 BTU,20.841114505186205,2027-05-16,2023-10-01,Inactive
4,2,Weber and Sons Plant,"Corkery, Bailey and Nikolaus",NXTXS49A8D,2021-01-28,41691 BTU,35328 BTU,18.28501768278415,2030-01-08,2021-02-20,Under Maintenance
5,2,Harber Inc Plant,"Hauck, Rath and Thiel",S4CBKUDECX,2020-04-18,33815 BTU,58604 BTU,16.275894557677486,2025-11-08,2021-08-24,Inactive
6,2,Zboncak - Thompson Plant,Rolfson LLC,4BRTLWWMYN,2021-02-03,24403 BTU,26191 BTU,16.617970357687213,2025-01-09,2024-02-27,Inactive
7,2,"Barton, Schaefer and Olson Plant",Treutel and Sons,ZOAINPFZCX,2022-02-15,56743 BTU,57164 BTU,20.062870519260727,2022-05-07,2024-07-03,Under Maintenance
8,3,Bogisich - Torp Plant,Heller Inc,CPQRH82UAB,2021-10-07,24170 BTU,30473 BTU,17.501670085092826,2024-06-13,2023-08-09,Inactive
9,4,"Rath, Johnston and Volkman Plant","Collier, Beahan and Spinka",OXYB1YNABW,2021-10-04,46847 BTU,37183 BTU,19.635527633137183,2024-05-07,2022-09-29,Under Maintenance
10,4,"Medhurst, Simonis and Dickens Plant",O'Connell - Turcotte,HDP0UQWVLQ,2023-11-18,24509 BTU,37369 BTU,19.628802197290756,2024-01-08,2024-03-21,Under Maintenance
11,5,"Ryan, Jaskolski and Larkin Plant","Luettgen, Harber and Farrell",BHEELWZQ5J,2020-06-06,35926 BTU,32902 BTU,14.586726157218942,2030-06-15,2021-12-15,Under Maintenance
12,6,Raynor LLC Plant,Klein - Tromp,LPDC4VZIJO,2020-11-22,36152 BTU,32745 BTU,20.72112447653936,2022-09-18,2022-10-31,Under Maintenance
13,6,Steuber and Sons Plant,Mante - Schoen,MZG52BO0FA,2021-08-24,31922 BTU,59025 BTU,13.7530707111469,2025-03-03,2023-07-10,Active
14,6,"Dickens, Jaskolski and Braun Plant",Bogan - Gutkowski,GDY6VLPW3P,2023-04-29,41071 BTU,40095 BTU,14.420615547961965,2025-12-28,2024-07-01,Under Maintenance
15,7,Bradtke Group Plant,"Cole, Padberg and Emard",GA45U0RC1U,2021-08-10,35657 BTU,45828 BTU,14.341524901201335,2026-01-04,2021-11-21,Under Maintenance
16,7,Lowe - Schoen Plant,Toy - Adams,IVPRVKOJXY,2020-06-17,43693 BTU,43585 BTU,13.218194019554383,2023-04-14,2023-09-16,Under Maintenance
17,8,West - Crooks Plant,Koss - Emard,KCP751DLCZ,2022-06-23,24215 BTU,43131 BTU,18.531934018673233,2025-03-29,2023-02-22,Under Maintenance
18,8,"Hoppe, Stark and Fritsch Plant",Pollich and Sons,UDTZTZ6WPM,2023-06-21,50209 BTU,46275 BTU,18.683524920115865,2024-10-19,2024-07-15,Active
