request_id,customer_id,equipment_id,request_date,description,priority,status,assigned_technician
1,1,1,2023-07-22,Toties volva advoco sodalitas tenetur urbanus depono.,Emergency,Closed,31
2,1,4,2023-07-02,Aegrotatio tamquam tandem agnosco cuius deprecator.,Low,Open,21
3,1,4,2024-01-29,Derelinquo cribro tergum condico theca.,Emergency,Closed,18
4,1,4,2023-09-08,Speciosus pecto astrum.,High,In Progress,23
5,2,17,2023-12-28,Defetiscor adfectus delectus carcer compono color.,Medium,Closed,31
6,2,10,2022-12-02,Comes succurro denuncio ver.,Medium,Open,40
7,4,27,2024-09-23,Culpa patrocinor aeneus quaerat denuncio amor.,Low,Open,13
8,4,16,2024-06-10,Timidus cribro velociter ducimus dedecor thorax denego utpote depopulo.,Emergency,In Progress,36
9,5,32,2024-07-20,Sublime quis velociter aspernatur utilis.,Medium,Closed,49
10,5,20,2024-04-30,Curto ager surculus circumvenio arx.,High,Closed,43
11,5,16,2024-04-17,Angelus quia una exercitationem fugit vitium eligendi carcer umbra.,Emergency,Open,44
12,5,19,2024-02-17,Annus sint occaecati adhuc subseco vallum sumptus deficio atque copia.,Emergency,In Progress,2
13,5,12,2023-06-12,Tamisium curatio tum.,Medium,Closed,8
14,5,24,2022-03-12,Strenuus dolor umquam arbor ver.,Emergency,In Progress,21
15,6,41,2023-09-30,Centum vicissitudo creo suppellex turba culpa patrocinor.,High,In Progress,21
16,6,43,2023-08-15,Sustineo delego officia ocer pel validus.,Medium,In Progress,34
17,6,9,2023-05-24,Colo beatus adinventitias animadverto conculco cunae carbo attero vester suppono.,Emergency,Closed,44
18,6,13,2023-08-20,Tumultus aestas utpote alioqui antea alveus audeo.,High,In Progress,32
19,6,20,2023-06-01,Amor depono ocer virga accusator abbas virgo admitto.,Emergency,Closed,17
20,6,33,2023-08-19,Color sustineo decet vomica deporto voveo undique.,High,Closed,45
21,7,47,2024-09-22,Trepide agnitio audentia adsuesco tenuis.,Emergency,Open,13
22,7,40,2022-08-24,Quasi tergo eos.,High,Closed,4
23,7,6,2023-02-21,Quod sapiente peior.,Low,Closed,23
24,9,20,2021-10-31,Vulgaris volva tenax caries ara creptio eveniet tondeo vociferor curatio.,High,Open,1
25,9,43,2023-09-16,Ulciscor tersus caveo turpis ventus.,Emergency,Closed,19
26,10,32,2024-08-07,Cohors demergo ratione vociferor termes vulpes copiose amplitudo vomito officia.,Medium,Open,3
27,10,37,2021-12-13,Adulescens aestivus pariatur creator triduana.,Low,Open,43
28,11,54,2024-02-15,Absum terminatio derelinquo ager quis arbustum delego absorbeo amitto.,Emergency,In Progress,20
29,11,42,2021-04-05,Civis creo tametsi.,Low,Closed,21
30,11,64,2022-07-31,Deduco voluptate aggredior arbor nesciunt derideo sed succurro administratio.,High,Closed,19
31,11,82,2022-05-30,Comprehendo ut curatio tepidus aeternus vero cogito considero.,High,In Progress,47
32,12,56,2020-06-27,Cunae atavus decens unus curiositas cotidie termes exercitationem contabesco approbo.,Low,In Progress,50
33,12,90,2023-07-22,Repellat cauda voluptates apud.,High,Closed,29
34,12,41,2021-10-30,Voluptatum cupio tandem cohaero aro spiritus suppellex amitto torrens.,Medium,Open,4
35,12,56,2024-09-11,Cotidie abduco sopor comprehendo nesciunt combibo tunc cruciamentum voluptatibus templum.,Medium,In Progress,29
36,12,36,2024-09-20,Synagoga crastinus cedo.,Medium,In Progress,10
37,12,94,2024-08-04,Taedium auctus sublime desidero cito verecundia.,High,In Progress,39
38,12,55,2024-09-20,Crapula adversus auditor quo pauci catena vito.,High,Closed,2
39,13,64,2023-06-01,Vinum adimpleo solum incidunt traho substantia amitto.,Low,Closed,18
40,13,95,2024-09-11,Sequi spargo copiose cresco fuga nam.,Medium,Open,43
41,14,86,2024-09-14,Amicitia decumbo deleniti trado vespillo earum.,Medium,In Progress,13
42,14,99,2024-07-14,Accedo ratione suscipit congregatio theologus.,High,Closed,8
43,14,118,2024-06-30,Adflicto caelestis angulus acer autem velut sollicito.,Medium,Closed,8
44,15,50,2021-06-23,Baiulus minima vero.,High,Open,14
45,15,12,2022-03-28,Confido vomica accusamus cubitum adopto alienus.,High,In Progress,23
46,15,99,2024-03-25,Suasoria avarus umerus sophismata.,Emergency,Open,37
47,16,70,2024-08-10,Suffragium bos suppono adeo.,Low,Closed,25
48,16,41,2023-08-11,Aduro aliqua quis adfectus abscido utilis commemoro ter ullus.,High,Closed,46
49,16,116,2023-03-19,Vorago acer capillus succurro neque eum volutabrum careo.,High,Closed,28
50,17,2,2023-05-04,Adhaero tonsor cognomen abduco cauda cavus supplanto vindico comparo.,Medium,In Progress,2
